rank,cctvId,cctvName,region,source,address,suggestedReviewTier,suggestedIdentificationUse,suggestedDirectionStatus,suggestionScore,suggestionReason,streamUrl
1,GTIC-X-100402011,스마트교차로_강화.검단방향,김포,gimpo-its-cross,스마트교차로_강화.검단방향,tier_a_review_candidate,fine_grained_vehicle_after_sample_verification,pending_review,86,near-token:교차로; structure-token:교; source:gimpo-cross,https://gimpo.cctvstream.net:8443/s012/playlist.m3u8
2,GTIC-X-102802102,스마트교차로_강화.김포시청방향,김포,gimpo-its-cross,스마트교차로_강화.김포시청방향,tier_a_review_candidate,fine_grained_vehicle_after_sample_verification,pending_review,86,near-token:교차로; structure-token:교; source:gimpo-cross,https://gimpo.cctvstream.net:8443/v2/n037/playlist.m3u8
3,GTIC-X-101901068,스마트교차로_강화.서울방향,김포,gimpo-its-cross,스마트교차로_강화.서울방향,tier_a_review_candidate,fine_grained_vehicle_after_sample_verification,pending_review,86,near-token:교차로; structure-token:교; source:gimpo-cross,https://gimpo.cctvstream.net:8443/v2/n003/playlist.m3u8
4,GTIC-X-103203118,스마트교차로_강화.서울방향,김포,gimpo-its-cross,스마트교차로_강화.서울방향,tier_a_review_candidate,fine_grained_vehicle_after_sample_verification,pending_review,86,near-token:교차로; structure-token:교; source:gimpo-cross,https://gimpo.cctvstream.net:8443/v2/n051/playlist.m3u8
5,GTIC-X-100102002,스마트교차로_강화.통진방향,김포,gimpo-its-cross,스마트교차로_강화.통진방향,tier_a_review_candidate,fine_grained_vehicle_after_sample_verification,pending_review,86,near-token:교차로; structure-token:교; source:gimpo-cross,https://gimpo.cctvstream.net:8443/s001/playlist.m3u8
6,GTIC-X-101302046,스마트교차로_강화.통진방향,김포,gimpo-its-cross,스마트교차로_강화.통진방향,tier_a_review_candidate,fine_grained_vehicle_after_sample_verification,pending_review,86,near-token:교차로; structure-token:교; source:gimpo-cross,https://gimpo.cctvstream.net:8443/s047/playlist.m3u8
7,GTIC-X-100202005,스마트교차로_강화.통진방향,김포,gimpo-its-cross,스마트교차로_강화.통진방향,tier_a_review_candidate,fine_grained_vehicle_after_sample_verification,pending_review,86,near-token:교차로; structure-token:교; source:gimpo-cross,https://gimpo.cctvstream.net:8443/s004/playlist.m3u8
8,GTIC-X-100403012,스마트교차로_강화.통진방향,김포,gimpo-its-cross,스마트교차로_강화.통진방향,tier_a_review_candidate,fine_grained_vehicle_after_sample_verification,pending_review,86,near-token:교차로; structure-token:교; source:gimpo-cross,https://gimpo.cctvstream.net:8443/s010/playlist.m3u8
9,GTIC-X-101902069,스마트교차로_강화.통진방향,김포,gimpo-its-cross,스마트교차로_강화.통진방향,tier_a_review_candidate,fine_grained_vehicle_after_sample_verification,pending_review,86,near-token:교차로; structure-token:교; source:gimpo-cross,https://gimpo.cctvstream.net:8443/v2/n004/playlist.m3u8
10,GTIC-X-102003074,스마트교차로_강화.통진방향,김포,gimpo-its-cross,스마트교차로_강화.통진방향,tier_a_review_candidate,fine_grained_vehicle_after_sample_verification,pending_review,86,near-token:교차로; structure-token:교; source:gimpo-cross,https://gimpo.cctvstream.net:8443/v2/n007/playlist.m3u8
11,GTIC-X-102103078,스마트교차로_강화.통진방향,김포,gimpo-its-cross,스마트교차로_강화.통진방향,tier_a_review_candidate,fine_grained_vehicle_after_sample_verification,pending_review,86,near-token:교차로; structure-token:교; source:gimpo-cross,https://gimpo.cctvstream.net:8443/v2/n012/playlist.m3u8
12,GTIC-X-101702062,스마트교차로_강화방향,김포,gimpo-its-cross,스마트교차로_강화방향,tier_a_review_candidate,fine_grained_vehicle_after_sample_verification,pending_review,86,near-token:교차로; structure-token:교; source:gimpo-cross,https://gimpo.cctvstream.net:8443/s061/playlist.m3u8
13,GTIC-X-100801025,스마트교차로_강화방향,김포,gimpo-its-cross,스마트교차로_강화방향,tier_a_review_candidate,fine_grained_vehicle_after_sample_verification,pending_review,86,near-token:교차로; structure-token:교; source:gimpo-cross,https://gimpo.cctvstream.net:8443/s027/playlist.m3u8
14,GTIC-X-102402088,스마트교차로_강화방향,김포,gimpo-its-cross,스마트교차로_강화방향,tier_a_review_candidate,fine_grained_vehicle_after_sample_verification,pending_review,86,near-token:교차로; structure-token:교; source:gimpo-cross,https://gimpo.cctvstream.net:8443/v2/n023/playlist.m3u8
15,GTIC-X-102303085,스마트교차로_걸포북변역방향,김포,gimpo-its-cross,스마트교차로_걸포북변역방향,tier_a_review_candidate,fine_grained_vehicle_after_sample_verification,pending_review,86,near-token:교차로; structure-token:교; source:gimpo-cross,https://gimpo.cctvstream.net:8443/v2/n019/playlist.m3u8
16,GTIC-X-103403124,스마트교차로_걸포IC방향,김포,gimpo-its-cross,스마트교차로_걸포IC방향,tier_a_review_candidate,fine_grained_vehicle_after_sample_verification,pending_review,86,near-token:교차로; structure-token:교; source:gimpo-cross,https://gimpo.cctvstream.net:8443/v2/n057/playlist.m3u8
